"Site_Date_Visit","Richness","Shannon's entropy","Shannon's index","Simpson's index","Pielou's evenness","Shannon's evenness","Simpson's evenness"
"BEN01 2012-10-24 21402",23,2.09797647231105,8.14966214922784,5.39403501497822,0.669105515058128,0.35433313692295,0.234523261520792
"BLA01 2017-10-19 30674",22,2.10748542870034,8.22752654907448,4.91696529634291,0.681804103470215,0.373978479503385,0.223498422561041
"BRE001 2013-11-25 23105",27,2.47798342931361,11.9172082776714,7.98803527690019,0.751852573430847,0.441378084358199,0.295853158403711
"BRE001 2015-09-29 26645",28,2.40845865429989,11.1168130808716,6.52199029291555,0.722782364331309,0.397029038602557,0.232928224746984
"CAM01 2012-11-30 21415",21,2.1509835988319,8.5933066080134,4.96539863442682,0.706509359950824,0.409205076572067,0.236447554020325
"DUT01 2015-09-30 26925",32,2.35392166322099,10.5267713344821,4.35743141018576,0.679198222034004,0.328961604202567,0.136169731568305
"GEO0106 2006-09-22 13729",18,2.27115244822105,9.69056225257646,6.93495456403914,0.785764821433962,0.538364569587581,0.38527525355773
"GIL001 2013-11-06 22898",22,2.66665299702248,14.3917193641223,11.1989194499018,0.862703452721992,0.654169062005557,0.509041793177353
"GIL001 2015-09-30 26731",28,2.11131818069562,8.25912112628413,4.50542545725467,0.633610024309286,0.294968611653005,0.16090805204481
"ICB01 2012-10-25 21413",19,2.01800996258914,7.52333830195348,4.06330751711141,0.685363146211449,0.395965173787025,0.213858290374285
"ICB01 2015-09-28 26926",27,2.31551816762392,10.1301706854885,5.71236888907469,0.702558488712796,0.375191506869943,0.211569218113878
"JMC01 2012-12-13 21421",18,1.92200235643246,6.8346301425708,4.40586950978212,0.664967179803696,0.379701674587266,0.244770528321229
"JMC01 2015-09-28 26787",26,2.75999307553812,15.7997335432289,12.3862647106239,0.847118261638176,0.60768205935496,0.476394796562457
"LEO001 2013-11-26 22938",25,2.46980898787019,11.8201888365547,8.21324070290151,0.767289302926534,0.472807553462188,0.32852962811606
"MAI01 2012-12-11 21420",21,2.05966151199787,7.84331449309444,4.44097847694663,0.676513822489022,0.373491166337831,0.211475165568887
"MAI01 2015-09-29 26730",26,2.46281446350353,11.7378007065023,6.95479739254616,0.755905920761669,0.451453873327012,0.267492207405622
"MCB01 2012-12-07 21416",19,2.43982742995068,11.4710610104142,8.67727469684281,0.828622174619285,0.603740053179695,0.456698668254885
"MCN01 2012-11-28 21414",24,2.44361823821335,11.514628128397,8.73524009179687,0.768903979812644,0.479776172016544,0.363968337158203
"MCN01 2015-09-29 26786",23,2.38321233997314,10.8396676936378,7.10434533170069,0.760075501930694,0.471289899723381,0.30888457963916
"MIT01 2015-09-30 26924",29,2.12916267217436,8.40782375839354,3.78533674339301,0.632306390550461,0.289924957185984,0.130528853220449
